task_name,num,dataset_id,error_rate,m,n,anomaly,missing,cleaning_method,precision,recall,F1,EDR
hospital,1,27,5.0,20,1000,0.0,5.0,mode,0.82425,0.07280400949617515,0.1337906172693568,0.07280400949617515
hospital,1,27,5.0,20,1000,0.0,5.0,bigdansing,0.8049,0.13532049591136902,0.23168919978389485,-0.02927987338433131
hospital,1,27,5.0,20,1000,0.0,5.0,boostclean,0.8104,0.0,0.0,-0.0002637826431020839
hospital,1,27,5.0,20,1000,0.0,5.0,holoclean,0.84565,0.18570298074386704,0.3045314816519669,0.18570298074386704
hospital,1,27,5.0,20,1000,0.0,5.0,horizon,0.8002,0.1078871010287523,0.19013871719002456,-0.0540754418359272
hospital,1,27,5.0,20,1000,0.0,5.0,scared,0.7889,0.026114481667106306,0.05055545649947104,-0.11369031917699815
hospital,1,27,5.0,20,1000,0.0,5.0,baran,0.9813,0.9016090741229227,0.9397681455743674,0.9013452914798207
hospital,1,27,5.0,20,1000,0.0,5.0,Unified,0.81045,0.0,0.0,0.0
hospital,1,27,5.0,20,1000,0.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,2,15,10.0,20,1000,0.0,10.0,mode,0.7996,0.13209181463837158,0.22672865281281382,0.13209181463837158
hospital,2,15,10.0,20,1000,0.0,10.0,bigdansing,0.7629,0.20008661758336943,0.31702637973811176,-0.026851450844521438
hospital,2,15,10.0,20,1000,0.0,10.0,holoclean,0.7408,0.30381117366825466,0.43090352300772566,-0.12256388046773495
hospital,2,15,10.0,20,1000,0.0,10.0,horizon,0.77135,0.17128627111303596,0.2803237458007744,0.0097444781290602
hospital,2,15,10.0,20,1000,0.0,10.0,scared,0.6745,0.07773928107405803,0.1394108135634302,-0.4097011693373755
hospital,2,15,10.0,20,1000,0.0,10.0,baran,0.977,0.9003897791251624,0.9371317815687723,0.9003897791251624
hospital,2,15,10.0,20,1000,0.0,10.0,Unified,0.7691,0.0,0.0,0.0
hospital,2,15,10.0,20,1000,0.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,3,18,15.0,20,1000,0.0,15.0,mode,0.7747,0.16878804648588822,0.27718443301883083,0.16878804648588822
hospital,3,18,15.0,20,1000,0.0,15.0,bigdansing,0.7189,0.23390518354547132,0.352967089925187,-0.03707802988378528
hospital,3,18,15.0,20,1000,0.0,15.0,holoclean,0.7638,0.1285740638258624,0.22009799238037328,0.1285740638258624
hospital,3,18,15.0,20,1000,0.0,15.0,horizon,0.7217,0.2038369304556355,0.3178892335228835,-0.026747832503228187
hospital,3,18,15.0,20,1000,0.0,15.0,scared,0.7454,0.39033388673676445,0.5123645293521484,0.06068990961077292
hospital,3,18,15.0,20,1000,0.0,15.0,baran,0.9582,0.8491053311197196,0.9003600158417505,0.845784910533112
hospital,3,18,15.0,20,1000,0.0,15.0,Unified,0.72895,0.0,0.0,0.0
hospital,3,18,15.0,20,1000,0.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,4,28,5.0,20,1000,5.0,0.0,mode,0.81035,0.0,0.0,0.0
hospital,4,28,5.0,20,1000,5.0,0.0,bigdansing,0.8108,0.12628526232533616,0.21853313633233556,0.002372791985235961
hospital,4,28,5.0,20,1000,5.0,0.0,boostclean,0.81035,0.0,0.0,0.0
hospital,4,28,5.0,20,1000,5.0,0.0,holoclean,0.8247,0.07566569997363565,0.13861368279596736,0.07566569997363565
hospital,4,28,5.0,20,1000,5.0,0.0,horizon,0.8081,0.10229369891906143,0.1815995391766057,-0.011863959926179805
hospital,4,28,5.0,20,1000,5.0,0.0,scared,0.78715,0.012127603480094912,0.023887177715957227,-0.12233060901660954
hospital,4,28,5.0,20,1000,5.0,0.0,baran,0.8355,0.13920379646717637,0.23864639159070408,0.13261270761929872
hospital,4,28,5.0,20,1000,5.0,0.0,Unified,0.81035,0.0,0.0,0.0
hospital,4,28,5.0,20,1000,5.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,5,25,10.0,20,1000,5.0,5.0,mode,0.78435,0.06300238974581794,0.1166360654554965,0.06300238974581794
hospital,5,25,10.0,20,1000,5.0,5.0,bigdansing,0.7709,0.20421464262437541,0.3228934550207023,0.004562242016076472
hospital,5,25,10.0,20,1000,5.0,5.0,boostclean,0.76985,0.0,0.0,0.0
hospital,5,25,10.0,20,1000,5.0,5.0,holoclean,0.81535,0.19769715402998045,0.31823271779029977,0.19769715402998045
hospital,5,25,10.0,20,1000,5.0,5.0,horizon,0.75815,0.16250271562024765,0.26763932101039734,-0.050836411036280685
hospital,5,25,10.0,20,1000,5.0,5.0,scared,0.70105,0.03845318270693026,0.07290733662028585,-0.2989354768629155
hospital,5,25,10.0,20,1000,5.0,5.0,baran,0.9655,0.8505322615685422,0.9043769936500476,0.8500977623289159
hospital,5,25,10.0,20,1000,5.0,5.0,Unified,0.76985,0.0,0.0,0.0
hospital,5,25,10.0,20,1000,5.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,6,21,15.0,20,1000,5.0,10.0,mode,0.7611,0.11682070240295749,0.20255186227077043,0.11682070240295749
hospital,6,21,15.0,20,1000,5.0,10.0,bigdansing,0.7259,0.23401109057301295,0.3539258006604509,-0.013308687615526803
hospital,6,21,15.0,20,1000,5.0,10.0,boostclean,0.7295,0.0,0.0,0.0
hospital,6,21,15.0,20,1000,5.0,10.0,holoclean,0.8082,0.2909426987060998,0.42786053052269607,0.2909426987060998
hospital,6,21,15.0,20,1000,5.0,10.0,horizon,0.73615,0.20683918669131238,0.3229404311985042,0.024584103512014788
hospital,6,21,15.0,20,1000,5.0,10.0,scared,0.7454,0.3853974121996303,0.5080931879651119,0.05878003696857671
hospital,6,21,15.0,20,1000,5.0,10.0,baran,0.9553,0.8373382624768947,0.8924379880622878,0.8347504621072088
hospital,6,21,15.0,20,1000,5.0,10.0,Unified,0.7295,0.0,0.0,0.0
hospital,6,21,15.0,20,1000,5.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,7,23,20.0,20,1000,5.0,15.0,mode,0.735,0.14488544691836075,0.24205606277035238,0.14488544691836075
hospital,7,23,20.0,20,1000,5.0,15.0,bigdansing,0.6808,0.2334624072281381,0.34769275338093486,-0.030009680542110357
hospital,7,23,20.0,20,1000,5.0,15.0,holoclean,0.7994,0.3526944175540497,0.4894458528690511,0.3526944175540497
hospital,7,23,20.0,20,1000,5.0,15.0,horizon,0.6726,0.19828977089383673,0.30628376715531,-0.05646982897708938
hospital,7,23,20.0,20,1000,5.0,15.0,scared,0.68625,0.4080348499515973,0.5117751850291435,-0.012423362374959664
hospital,7,23,20.0,20,1000,5.0,15.0,baran,0.93855,0.8102613746369797,0.8697002137504929,0.8017102291061633
hospital,7,23,20.0,20,1000,5.0,15.0,Unified,0.6901,0.0,0.0,0.0
hospital,7,23,20.0,20,1000,5.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,8,16,10.0,20,1000,10.0,0.0,mode,0.77025,0.0,0.0,0.0
hospital,8,16,10.0,20,1000,10.0,0.0,bigdansing,0.77295,0.19390642002176278,0.31003562525332956,0.0117519042437432
hospital,8,16,10.0,20,1000,10.0,0.0,boostclean,0.77025,0.0,0.0,0.0
hospital,8,16,10.0,20,1000,10.0,0.0,holoclean,0.7408,0.2992383025027203,0.42628378966540115,-0.12818280739934712
hospital,8,16,10.0,20,1000,10.0,0.0,horizon,0.76495,0.16235038084874864,0.2678526319952128,-0.02306855277475517
hospital,8,16,10.0,20,1000,10.0,0.0,scared,0.7454,0.03177366702937976,0.060949289479218384,-0.10816104461371055
hospital,8,16,10.0,20,1000,10.0,0.0,baran,0.83175,0.26985854189336234,0.4075038158909478,0.2676822633297062
hospital,8,16,10.0,20,1000,10.0,0.0,Unified,0.77025,0.0,0.0,0.0
hospital,8,16,10.0,20,1000,10.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,9,26,15.0,20,1000,10.0,5.0,mode,0.74425,0.054878048780487805,0.10221888186056449,0.054878048780487805
hospital,9,26,15.0,20,1000,10.0,5.0,bigdansing,0.73045,0.23263118994826312,0.3528787696639309,0.003880266075388027
hospital,9,26,15.0,20,1000,10.0,5.0,boostclean,0.7294,0.0,0.0,0.0
hospital,9,26,15.0,20,1000,10.0,5.0,holoclean,0.81535,0.42220990391722096,0.5563348393387066,0.31762749445676275
hospital,9,26,15.0,20,1000,10.0,5.0,horizon,0.71855,0.1977087952697709,0.31009504208746297,-0.040096082779009605
hospital,9,26,15.0,20,1000,10.0,5.0,scared,0.66315,0.048226164079822616,0.08991355719910177,-0.24482631189948262
hospital,9,26,15.0,20,1000,10.0,5.0,baran,0.95315,0.8398004434589801,0.8928922666023926,0.8268662232076867
hospital,9,26,15.0,20,1000,10.0,5.0,Unified,0.7294,0.0,0.0,0.0
hospital,9,26,15.0,20,1000,10.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,10,22,20.0,20,1000,10.0,10.0,mode,0.72175,0.09995147986414361,0.17558683380702428,0.09995147986414361
hospital,10,22,20.0,20,1000,10.0,10.0,bigdansing,0.68905,0.2348374575448811,0.35029104205246686,-0.005822416302765648
hospital,10,22,20.0,20,1000,10.0,10.0,boostclean,0.69085,0.0,0.0,0.0
hospital,10,22,20.0,20,1000,10.0,10.0,holoclean,0.8082,0.4858482937085557,0.6068747092118801,0.3795891961830826
hospital,10,22,20.0,20,1000,10.0,10.0,horizon,0.67075,0.20071162865922693,0.3089690251315026,-0.06501698204754973
hospital,10,22,20.0,20,1000,10.0,10.0,scared,0.7454,0.44541484716157204,0.557621913877914,0.1764515607310367
hospital,10,22,20.0,20,1000,10.0,10.0,baran,0.9425,0.8161086851043183,0.8747624667453443,0.8140061458838751
hospital,10,22,20.0,20,1000,10.0,10.0,Unified,0.69085,0.0,0.0,0.0
hospital,10,22,20.0,20,1000,10.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,11,20,25.0,20,1000,10.0,15.0,mode,0.6974,0.1329512893982808,0.22332771782302238,0.1329512893982808
hospital,11,20,25.0,20,1000,10.0,15.0,bigdansing,0.6421,0.21891117478510028,0.3265064831814662,-0.025501432664756445
hospital,11,20,25.0,20,1000,10.0,15.0,boostclean,0.651,0.0,0.0,0.0
hospital,11,20,25.0,20,1000,10.0,15.0,holoclean,0.7574,0.3048710601719198,0.4347465531760627,0.3048710601719198
hospital,11,20,25.0,20,1000,10.0,15.0,horizon,0.62065,0.1977077363896848,0.29988671490197105,-0.08696275071633237
hospital,11,20,25.0,20,1000,10.0,15.0,scared,0.7454,0.5005730659025788,0.5989329521396839,0.270487106017192
hospital,11,20,25.0,20,1000,10.0,15.0,baran,0.9376,0.8343839541547278,0.8829858685584481,0.8212034383954154
hospital,11,20,25.0,20,1000,10.0,15.0,Unified,0.651,0.0,0.0,0.0
hospital,11,20,25.0,20,1000,10.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,12,24,15.0,20,1000,15.0,0.0,mode,0.7281,0.0,0.0,0.0
hospital,12,24,15.0,20,1000,15.0,0.0,bigdansing,0.7364,0.22728944464876794,0.3473649067524145,0.030525928650239058
hospital,12,24,15.0,20,1000,15.0,0.0,boostclean,0.7281,0.0,0.0,0.0
hospital,12,24,15.0,20,1000,15.0,0.0,holoclean,0.7531,0.09194556822361162,0.16388277752822641,0.09194556822361162
hospital,12,24,15.0,20,1000,15.0,0.0,horizon,0.73415,0.1930856932695844,0.30575583477382784,0.02225082751011401
hospital,12,24,15.0,20,1000,15.0,0.0,scared,0.68625,0.05057006252298639,0.09419858978206573,-0.15391688120632585
hospital,12,24,15.0,20,1000,15.0,0.0,baran,0.82165,0.3466347922030158,0.48757371304396013,0.3440603162927547
hospital,12,24,15.0,20,1000,15.0,0.0,Unified,0.7281,0.0,0.0,0.0
hospital,12,24,15.0,20,1000,15.0,0.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,13,29,20.0,20,1000,15.0,5.0,mode,0.70645,0.051687934097884025,0.09632796197409556,0.051687934097884025
hospital,13,29,20.0,20,1000,15.0,5.0,bigdansing,0.6967,0.22145049265062186,0.3360768402667453,0.020190599256985946
hospital,13,29,20.0,20,1000,15.0,5.0,boostclean,0.69045,0.0,0.0,0.0
hospital,13,29,20.0,20,1000,15.0,5.0,holoclean,0.8247,0.4999192376029721,0.6224934434701977,0.43369407204005817
hospital,13,29,20.0,20,1000,15.0,5.0,horizon,0.68745,0.2052980132450331,0.31617459151166183,-0.009691487643353255
hospital,13,29,20.0,20,1000,15.0,5.0,scared,0.6692,0.061863996123404943,0.11325789924086015,-0.06864803747375223
hospital,13,29,20.0,20,1000,15.0,5.0,baran,0.9404,0.8084315942497173,0.8694365698014459,0.807462445485382
hospital,13,29,20.0,20,1000,15.0,5.0,Unified,0.69045,0.0,0.0,0.0
hospital,13,29,20.0,20,1000,15.0,5.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,14,17,25.0,20,1000,15.0,10.0,mode,0.67985,0.08292752792896019,0.14782365184663454,0.08292752792896019
hospital,14,17,25.0,20,1000,15.0,10.0,bigdansing,0.6409,0.19750787739902606,0.30195994583860725,-0.028645087367516472
hospital,14,17,25.0,20,1000,15.0,10.0,boostclean,0.6509,0.0,0.0,0.0
hospital,14,17,25.0,20,1000,15.0,10.0,holoclean,0.7408,0.4939845316528215,0.592724854689548,0.2575193354339731
hospital,14,17,25.0,20,1000,15.0,10.0,horizon,0.61235,0.183471784588943,0.2823470014736267,-0.11042681180177599
hospital,14,17,25.0,20,1000,15.0,10.0,scared,0.7454,0.49885419650529933,0.5977008863935407,0.27069607562303066
hospital,14,17,25.0,20,1000,15.0,10.0,baran,0.92845,0.7959037525064452,0.8570826466906732,0.7950443998854196
hospital,14,17,25.0,20,1000,15.0,10.0,Unified,0.6509,0.0,0.0,0.0
hospital,14,17,25.0,20,1000,15.0,10.0,GroundTruth,1.0,1.0,1.0,1.0
hospital,15,19,30.0,20,1000,15.0,15.0,mode,0.6546,0.11797752808988764,0.19992321049921905,0.11797752808988764
hospital,15,19,30.0,20,1000,15.0,15.0,bigdansing,0.598,0.19931052093973442,0.2989743353229127,-0.026557711950970377
hospital,15,19,30.0,20,1000,15.0,15.0,boostclean,0.6084,0.0,0.0,0.0
hospital,15,19,30.0,20,1000,15.0,15.0,holoclean,0.7638,0.5508171603677222,0.6400557664577949,0.39683350357507663
hospital,15,19,30.0,20,1000,15.0,15.0,horizon,0.58935,0.20569458631256385,0.30495422905917546,-0.04864657814096016
hospital,15,19,30.0,20,1000,15.0,15.0,scared,0.7454,0.5333248212461695,0.6217761869508023,0.3498467824310521
hospital,15,19,30.0,20,1000,15.0,15.0,baran,0.9098,0.7814096016343207,0.8407313379487589,0.7696629213483146
hospital,15,19,30.0,20,1000,15.0,15.0,Unified,0.6084,0.0,0.0,0.0
hospital,15,19,30.0,20,1000,15.0,15.0,GroundTruth,1.0,1.0,1.0,1.0
